id,year,month,nombre,codigoruta,nombreruta,pasajerosadultomayor,pasajerosregulares,pasajerostotales,cant_feriados,nombres_feriados,es_feriado_mes,precipitacion_mm,temperatura_c,dia_semana,es_fin_semana,trimestre,temporada,nivel_precipitacion,feriado_finde,periodo_escolar,ruta_promedio_pasajeros,proporcion_adultos_mayor,year_norm
26,2021,1,"AUTOBUSES ROMERO, S.A.",334,CARTAGO-CABALLO BLANCO-DULCE NOMBRE-BLANQUILLO Y VICEVERSA,2319,19605,21924,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,15600.805555555555,0.105769669327252,0
27,2021,1,"AUTOBUSES ROMERO, S.A.",334,CARTAGO-CABALLO BLANCO-DULCE NOMBRE-BLANQUILLO Y VICEVERSA,259,3520,3779,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,15600.805555555555,0.06851851851851852,0
123,2021,1,"AUTOTRANSPORTES EL GUARCO, S.A.",328,"CARTAGO – TEJAR – SAN ISIDRO – HIGUITO – PARQUE INDUSTRIAL Y VICEVERSA, DISTRITOS GUAYABAL – HACIENDA VIEJA – CARTAGO Y VICEVERSA, CATALINAS – SANTA GERTRUDIS – CARTAGO Y VICEVERSA (APROVECHA EL SERVICIO DEL PARQUE INDUSTRIAL) Y GUATUSO – SAN ISIDRO – CARTAGO Y VICEVERSA",121,2416,2537,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,30982.49074074074,0.04767533490937746,0
124,2021,1,"AUTOTRANSPORTES EL GUARCO, S.A.",328,"CARTAGO – TEJAR – SAN ISIDRO – HIGUITO – PARQUE INDUSTRIAL Y VICEVERSA, DISTRITOS GUAYABAL – HACIENDA VIEJA – CARTAGO Y VICEVERSA, CATALINAS – SANTA GERTRUDIS – CARTAGO Y VICEVERSA (APROVECHA EL SERVICIO DEL PARQUE INDUSTRIAL) Y GUATUSO – SAN ISIDRO – CARTAGO Y VICEVERSA",748,4687,5435,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,30982.49074074074,0.13760117733627666,0
125,2021,1,"AUTOTRANSPORTES EL GUARCO, S.A.",328,"CARTAGO – TEJAR – SAN ISIDRO – HIGUITO – PARQUE INDUSTRIAL Y VICEVERSA, DISTRITOS GUAYABAL – HACIENDA VIEJA – CARTAGO Y VICEVERSA, CATALINAS – SANTA GERTRUDIS – CARTAGO Y VICEVERSA (APROVECHA EL SERVICIO DEL PARQUE INDUSTRIAL) Y GUATUSO – SAN ISIDRO – CARTAGO Y VICEVERSA",3973,38293,42266,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,30982.49074074074,0.09399768140629806,0
126,2021,1,"AUTOTRANSPORTES EL GUARCO, S.A.",328,"CARTAGO – TEJAR – SAN ISIDRO – HIGUITO – PARQUE INDUSTRIAL Y VICEVERSA, DISTRITOS GUAYABAL – HACIENDA VIEJA – CARTAGO Y VICEVERSA, CATALINAS – SANTA GERTRUDIS – CARTAGO Y VICEVERSA (APROVECHA EL SERVICIO DEL PARQUE INDUSTRIAL) Y GUATUSO – SAN ISIDRO – CARTAGO Y VICEVERSA",557,4105,4662,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,30982.49074074074,0.11945099721209522,0
127,2021,1,"AUTOTRANSPORTES EL GUARCO, S.A.",328,"CARTAGO – TEJAR – SAN ISIDRO – HIGUITO – PARQUE INDUSTRIAL Y VICEVERSA, DISTRITOS GUAYABAL – HACIENDA VIEJA – CARTAGO Y VICEVERSA, CATALINAS – SANTA GERTRUDIS – CARTAGO Y VICEVERSA (APROVECHA EL SERVICIO DEL PARQUE INDUSTRIAL) Y GUATUSO – SAN ISIDRO – CARTAGO Y VICEVERSA",2188,14178,16366,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,30982.49074074074,0.13368363169792877,0
128,2021,1,"AUTOTRANSPORTES EL GUARCO, S.A.",328,"CARTAGO – TEJAR – SAN ISIDRO – HIGUITO – PARQUE INDUSTRIAL Y VICEVERSA, DISTRITOS GUAYABAL – HACIENDA VIEJA – CARTAGO Y VICEVERSA, CATALINAS – SANTA GERTRUDIS – CARTAGO Y VICEVERSA (APROVECHA EL SERVICIO DEL PARQUE INDUSTRIAL) Y GUATUSO – SAN ISIDRO – CARTAGO Y VICEVERSA",1121,4945,6066,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,30982.49074074074,0.18477006757870446,0
132,2021,1,"AUTOTRANSPORTES GRANADOS CONTRERAS, S.A.",324,CARTAGO-EL BOSQUE-BLANQUILLO Y VICEVERSA,3504,15600,19104,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,24402.305555555555,0.18340748495158335,0
158,2021,1,"AUTOTRANSPORTES LUMACA, S.A.",300,SAN JOSE-CARTAGO Y VICEVERSA,1732,47505,49237,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,25952.85913705584,0.03517608351273407,0
